"Name","DisplayName","StartMode","State","ProcessId","MemoryMB"
"WinDefend","Servicio de antivirus de Microsoft Defender","Auto","Running","3956","273,03"
"DPS","Servicio de directivas de diagn?stico","Auto","Running","3656","39,74"
"PcaSvc","Servicio Asistente para la compatibilidad de programas","Auto","Running","7264","39,12"
"DoSvc","Optimizaci?n de distribuci?n","Auto","Running","11560","33,31"
"CDPUserSvc_9b3de","Servicio de usuario de plataforma de dispositivos conectados_9b3de","Auto","Running","6380","33,25"
"Power","Energ?a","Auto","Running","1288","32,6"
"DcomLaunch","Iniciador de procesos de servidor DCOM","Auto","Running","1288","32,6"
"PlugPlay","Plug and Play","Manual","Running","1288","32,6"
"SystemEventsBroker","Agente de eventos del sistema","Auto","Running","1288","32,6"
"BrokerInfrastructure","Servicio de infraestructura de tareas en segundo plano","Auto","Running","1288","32,6"
"SamSs","Administrador de cuentas de seguridad","Auto","Running","1164","28,9"
"KeyIso","Aislamiento de claves CNG","Manual","Running","1164","28,9"
"cbdhsvc_9b3de","Servicio de usuario de Portapapeles_9b3de","Auto","Running","7516","27,39"
"TokenBroker","Web Account Manager","Manual","Running","6628","25,5"
"Winmgmt","Instrumental de administraci?n de Windows","Auto","Running","3924","25,48"
"UdkUserSvc_9b3de","Servicio de usuario de Udk_9b3de","Manual","Running","7468","22,56"
"camsvc","Servicio Administrador de funcionalidad de acceso","Auto","Running","5064","22,24"
"NPSMSvc_9b3de","Reproducci?n del Servicio administrador de sesiones_9b3de","Manual","Running","10696","21,83"
"UserDataSvc_9b3de","Acceso a datos de usuarios_9b3de","Manual","Running","10532","20,73"
"PimIndexMaintenanceSvc_9b3de","Datos de los contactos_9b3de","Manual","Running","10532","20,73"
"UnistoreSvc_9b3de","Almacenamiento de datos de usuarios_9b3de","Manual","Running","10532","20,73"
"CryptSvc","Servicios de cifrado","Auto","Running","1712","20,03"
"BthAvctpSvc","Servicio AVCTP","Manual","Running","10496","19,62"
"RpcSs","Llamada a procedimiento remoto (RPC)","Auto","Running","1464","19,25"
"RpcEptMapper","Asignador de extremos de RPC","Auto","Running","1464","19,25"
"smphost","Microsoft Storage Spaces SMP","Manual","Running","7756","18,96"
"StateRepository","State Repository Service","Auto","Running","3340","18,85"
"InstallService","Servicio de instalaci?n de Microsoft Store","Manual","Running","8968","18,29"
"LicenseManager","Servicio de administrador de licencias de Windows","Manual","Running","8564","17,3"
"RtkAudioUniversalService","Realtek Audio Universal Service","Auto","Running","3904","17,19"
"RasMan","Administrador de conexiones de acceso remoto","Manual","Running","5244","17,05"
"IntelGraphicsSoftwareService","Intel? Graphics Software","Auto","Running","4656","16,71"
"WpnUserService_9b3de","Servicio de usuario de notificaciones de inserci?n de Windows_9b3de","Auto","Running","6520","16,66"
"EventLog","Registro de eventos de Windows","Auto","Running","2516","16,65"
"Appinfo","Informaci?n de la aplicaci?n","Manual","Running","5044","16,52"
"whesvc","Estado y experiencias optimizadas de Windows","Auto","Running","3736","16,48"
"bthserv","Servicio de compatibilidad con Bluetooth","Manual","Running","4104","16,23"
"lfsvc","Geolocation Service","Manual","Running","7852","16,2"
"DolbyDAXAPI","Dolby DAX API Service","Auto","Running","3676","16,02"
"webthreatdefsvc","Servicio de defensa contra amenazas web","Manual","Running","4632","15,81"
"WMIRegistrationService","Intel(R) Management Engine WMI Provider Registration","Auto","Running","3968","15,77"
"LITSSVC","Lenovo Notebook ITS Service","Auto","Running","3752","15,74"
"iphlpsvc","Aplicaci?n auxiliar IP","Auto","Running","3692","15,51"
"BluetoothUserService_9b3de","Servicio de soporte t?cnico al usuario de Bluetooth_9b3de","Manual","Running","11448","15,46"
"WdNisSvc","Servicio de inspecci?n de red de Antivirus de Microsoft Defender","Manual","Running","11080","15,41"
"netprofm","Servicio de lista de redes","Manual","Running","2100","15,36"
"TimeBrokerSvc","Agente de eventos de tiempo","Manual","Running","1936","15,34"
"AppXSvc","AppX Deployment Service (AppXSVC)","Auto","Running","8488","15,02"
"Audiosrv","Audio de Windows","Auto","Running","3120","15,01"
"SecurityHealthService","Servicio de seguridad de Windows","Manual","Running","11484","14,47"
"UsoSvc","Servicio orquestador de actualizaciones","Auto","Running","11332","14,41"
"DevicesFlowUserSvc_9b3de","DevicesFlow_9b3de","Manual","Running","3248","14,39"
"NcbService","Agente de conexi?n de red","Manual","Running","1928","14,25"
"MDCoreSvc","Servicio principal de Microsoft Defender","Auto","Running","3836","13,89"
"Schedule","Programador de tareas","Auto","Running","2884","13,54"
"wscsvc","Security Center","Auto","Running","4000","13,31"
"UserManager","Administrador de usuarios","Auto","Running","2904","13,06"
"mpssvc","Firewall de Windows Defender","Auto","Running","3456","13,02"
"BFE","Motor de filtrado de base","Auto","Running","3456","13,02"
"StorSvc","Servicio de almacenamiento","Auto","Running","3204","12,6"
"LanmanServer","Servidor","Auto","Running","3888","12,36"
"Dnscache","Cliente DNS","Auto","Running","1872","11,95"
"CDPSvc","Servicio de plataforma de dispositivos conectados","Auto","Running","6712","11,8"
"LSM","Administrador de sesi?n local","Auto","Running","1516","11,78"
"RmSvc","Servicio de administraci?n de radio","Manual","Running","7056","11,6"
"StiSvc","Adquisici?n de im?genes de Windows (WIA)","Auto","Running","3944","11,52"
"webthreatdefusersvc_9b3de","Servicio de usuario de defensa contra amenazas web_9b3de","Auto","Running","6460","11,18"
"BTAGService","Servicio de puerta de enlace de audio de Bluetooth","Manual","Running","8944","10,99"
"Dhcp","Cliente DHCP","Auto","Running","1980","10,91"
"nsi","Servicio Interfaz de almacenamiento en red","Auto","Running","1732","10,52"
"FontCache","Servicio de cach? de fuentes de Windows","Auto","Running","2960","10,49"
"ProfSvc","Servicio de perfil de usuario","Auto","Running","2660","10,37"
"WSAIFabricSvc","Windows AI Components Host","Auto","Running","5220","10,22"
"WlanSvc","Configuraci?n autom?tica de WLAN","Auto","Running","3372","10,18"
"AppIDSvc","Identidad de aplicaci?n","Manual","Running","1956","9,98"
"SstpSvc","Servicio de protocolo de t?nel de sockets seguros","Manual","Running","4160","9,87"
"InventorySvc","Servicio de inventario y compatibilidad de proveedores","Auto","Running","1676","9,79"
"gpsvc","Cliente de directiva de grupo","Auto","Running","11840","9,62"
"DeviceAssociationService","Servicio de asociaci?n de dispositivos","Manual","Running","4560","9,29"
"ipfsvc","Intel(R) Innovation Platform Framework Service","Auto","Running","3684","9,29"
"jhi_service","Intel(R) Dynamic Application Loader Host Interface Service","Auto","Running","3744","9,22"
"WdiSystemHost","Host de sistema de diagn?stico","Manual","Running","7452","9,16"
"SSDPSRV","Detecci?n SSDP","Manual","Running","6468","9,06"
"WpnService","Servicio del sistema de notificaciones de inserci?n de Windows","Auto","Running","4044","9,02"
"Wcmsvc","Administrador de conexiones de Windows","Auto","Running","2392","8,77"
"EventSystem","Sistema de eventos COM+","Auto","Running","2652","8,04"
"TrkWks","Cliente de seguimiento de v?nculos distribuidos","Auto","Running","3916","7,43"
"WinHttpAutoProxySvc","Servicio de detecci?n autom?tica de proxy web WinHTTP","Manual","Running","2128","7,29"
"lmhosts","Aplicaci?n auxiliar de NetBIOS sobre TCP/IP","Manual","Running","5672","7,2"
"DisplayEnhancementService","Servicio de mejora de visualizaci?n","Manual","Running","1896","7,18"
"SENS","Servicio de notificaci?n de eventos de sistema","Auto","Running","2840","6,89"
"AudioEndpointBuilder","Compilador de extremo de audio de Windows","Auto","Running","2952","6,88"
"DevQueryBroker","Agente de detecci?n en segundo plano de DevQuery","Manual","Running","2252","6,85"
"ShellHWDetection","Detecci?n de hardware shell","Auto","Running","3416","6"
"LenovoFnAndFunctionKeys","Lenovo Fn and function keys service","Auto","Running","3768","5,93"
"TextInputManagementService","Servicio de administraci?n de entrada de texto","Auto","Running","3184","5,73"
"CoreMessagingRegistrar","CoreMessaging","Auto","Running","2008","5,46"
"DispBrokerDesktopSvc","Servicio de directivas de pantallas","Auto","Running","2116","5,4"
"ElevocService","Elevoc Control Service","Auto","Running","3668","5,13"
"cplspcon","Intel(R) Content Protection HDCP Service","Auto","Running","1556","5,06"
"LanmanWorkstation","Estaci?n de trabajo","Auto","Running","3488","4,84"
"Themes","Temas","Auto","Running","2672","4,71"
"DusmSvc","Uso de datos","Auto","Running","3276","4,49"
