"TaskName","TaskPath","State","Actions","Triggers"
".NET Framework NGEN v4.0.30319","\Microsoft\Windows\.NET Framework\","Ready"," ",
".NET Framework NGEN v4.0.30319 64","\Microsoft\Windows\.NET Framework\","Ready"," ",
"RecoverabilityToastTask","\Microsoft\Windows\AccountHealth\","Ready"," ","CimInstance"
"AD RMS Rights Policy Template Management (Manual)","\Microsoft\Windows\Active Directory Rights Management Services Client\","Ready"," ","CimInstance"
"EDP Policy Manager","\Microsoft\Windows\AppID\","Ready"," ","CimInstance, CimInstance"
"PolicyConverter","\Microsoft\Windows\AppID\","Ready","%windir%\system32\appidpolicyconverter.exe ",
"VerifiedPublisherCertStoreCheck","\Microsoft\Windows\AppID\","Ready","%windir%\system32\appidcertstorecheck.exe ","CimInstance"
"MareBackup","\Microsoft\Windows\Application Experience\","Ready","%windir%\system32\compattelrunner.exe -m:aeinv.dll -f:UpdateSoftwareInventoryW invsvc | %windir%\system32\compattelrunner.exe -m:appraiser.dll -f:DoScheduledTelemetryRun | %windir%\system32\compattelrunner.exe -m:aemarebackup.dll -f:BackupMareData",
"Microsoft Compatibility Appraiser Exp","\Microsoft\Windows\Application Experience\","Ready","%windir%\system32\compattelrunner.exe -m:appraiser.dll -f:DoScheduledTelemetryRun express","CimInstance"
"PcaPatchDbTask","\Microsoft\Windows\Application Experience\","Ready","%windir%\system32\rundll32.exe %windir%\system32\PcaSvc.dll,PcaPatchSdbTask","CimInstance"
"SdbinstMergeDbTask","\Microsoft\Windows\Application Experience\","Ready","%windir%\system32\sdbinst.exe -mm","CimInstance, CimInstance"
"StartupAppTask","\Microsoft\Windows\Application Experience\","Ready","%windir%\system32\rundll32.exe Startupscan.dll,SusRunTask",
"appuriverifierdaily","\Microsoft\Windows\ApplicationData\","Ready","%windir%\system32\AppHostRegistrationVerifier.exe ",
"appuriverifierinstall","\Microsoft\Windows\ApplicationData\","Ready","%windir%\system32\AppHostRegistrationVerifier.exe ","CimInstance"
"CleanupTemporaryState","\Microsoft\Windows\ApplicationData\","Ready","%windir%\system32\rundll32.exe Windows.Storage.ApplicationData.dll,CleanupTemporaryState",
"DsSvcCleanup","\Microsoft\Windows\ApplicationData\","Ready","%windir%\system32\dstokenclean.exe ",
"Backup","\Microsoft\Windows\AppListBackup\","Ready"," ",
"BackupNonMaintenance","\Microsoft\Windows\AppListBackup\","Ready"," ","CimInstance"
"Pre-staged app cleanup","\Microsoft\Windows\AppxDeploymentClient\","Ready","%windir%\system32\rundll32.exe %windir%\system32\AppxDeploymentClient.dll,AppxPreStageCleanupRunTask","CimInstance"
"UCPD velocity","\Microsoft\Windows\AppxDeploymentClient\","Ready","%windir%\system32\UCPDMgr.exe ","CimInstance"
"Proxy","\Microsoft\Windows\Autochk\","Ready","%windir%\system32\rundll32.exe /d acproxy.dll,PerformAutochkOperations","CimInstance"
"BitLocker Encrypt All Drives","\Microsoft\Windows\BitLocker\","Ready"," ","CimInstance"
"BitLocker MDM policy Refresh","\Microsoft\Windows\BitLocker\","Ready"," ","CimInstance"
