"Id","ProcessName","WS_MB","Private_MB","Virtual_MB","CPU","Handles","Threads","StartTime"
"8868","opencode","841,26","1312,36","12452,19","239,203125","279","System.Diagnostics.ProcessThreadCollection","10/09/2026 11:36:19?p.?m."
"4604","opencode","832,75","1299,62","12480,96","262,171875","273","System.Diagnostics.ProcessThreadCollection","10/09/2026 11:36:38?p.?m."
"9376","opencode","813,33","1242,43","12471,57","306,625","273","System.Diagnostics.ProcessThreadCollection","10/09/2026 11:36:33?p.?m."
"10256","brave","409,52","367,91","3700843,63","167,84375","461","System.Diagnostics.ProcessThreadCollection","10/09/2026 11:08:47?p.?m."
"3484","brave","379,67","296,04","3698839,83","108,140625","416","System.Diagnostics.ProcessThreadCollection","10/09/2026 11:35:21?p.?m."
"12732","brave","294,72","357,15","2254595,98","205,359375","2268","System.Diagnostics.ProcessThreadCollection","10/09/2026 10:06:19?p.?m."
"3956","MsMpEng","288,07","363,01","2102428,75","216,515625","1027","System.Diagnostics.ProcessThreadCollection","10/09/2026 9:57:20?p.?m."
"7024","explorer","253,14","260,84","2102463,9","62,984375","5206","System.Diagnostics.ProcessThreadCollection","10/09/2026 9:57:28?p.?m."
"6848","brave","212,76","138,88","3700737,16","17,265625","355","System.Diagnostics.ProcessThreadCollection","10/09/2026 11:13:16?p.?m."
"1480","brave","202,98","110,38","2254442,67","146,796875","1876","System.Diagnostics.ProcessThreadCollection","10/09/2026 10:06:18?p.?m."
"7708","WindowsTerminal","175,66","124,65","2101837,59","44,9375","780","System.Diagnostics.ProcessThreadCollection","10/09/2026 11:35:56?p.?m."
"9484","powershell","126,85","103,07","2101935,03","5,375","723","System.Diagnostics.ProcessThreadCollection","10/09/2026 11:52:15?p.?m."
"6988","brave","117,13","52,24","3698814,87","1,34375","327","System.Diagnostics.ProcessThreadCollection","10/09/2026 11:44:26?p.?m."
"4292","Taskmgr","92,74","99,84","2101856,16","281,953125","1356","System.Diagnostics.ProcessThreadCollection","10/09/2026 10:01:35?p.?m."
"8028","StartMenuExperienceHost","86,21","98,7","2120966,1","8,203125","1217","System.Diagnostics.ProcessThreadCollection","10/09/2026 9:57:29?p.?m."
"11880","powershell","72,16","52,42","2101885,74","2,625","626","System.Diagnostics.ProcessThreadCollection","10/09/2026 11:36:00?p.?m."
"7832","powershell","72,02","52,23","2101885,68","2,65625","631","System.Diagnostics.ProcessThreadCollection","10/09/2026 11:35:56?p.?m."
"12292","powershell","71,41","51,75","2101885,69","3,3125","632","System.Diagnostics.ProcessThreadCollection","10/09/2026 11:36:35?p.?m."
"1656","dwm","68,69","181,56","2102015,95","484,03125","1617","System.Diagnostics.ProcessThreadCollection","10/09/2026 9:57:19?p.?m."
"2216","powershell","63,29","46,95","2101882,62","2,328125","567","System.Diagnostics.ProcessThreadCollection","10/09/2026 11:52:14?p.?m."
"3648","ShellExperienceHost","63,22","50,63","2101762,89","1,609375","843","System.Diagnostics.ProcessThreadCollection","10/09/2026 10:01:24?p.?m."
"176","Registry","51,84","4,54","102,41","0,8125","0","System.Diagnostics.ProcessThreadCollection","10/09/2026 9:57:10?p.?m."
"8020","SearchHost","51,1","74,39","2155192,86","5,671875","1081","System.Diagnostics.ProcessThreadCollection","10/09/2026 9:57:29?p.?m."
"9896","msedgewebview2","49,5","59,25","3698844,01","1,453125","321","System.Diagnostics.ProcessThreadCollection","10/09/2026 9:57:31?p.?m."
"3984","audiodg","45,04","278,62","2101678,25","122,421875","410","System.Diagnostics.ProcessThreadCollection","10/09/2026 11:08:54?p.?m."
"9204","msedgewebview2","44,64","33,29","2303395,65","3,140625","1240","System.Diagnostics.ProcessThreadCollection","10/09/2026 9:57:31?p.?m."
"7264","svchost","39,12","15,95","2101414,72","1,03125","719","System.Diagnostics.ProcessThreadCollection","10/09/2026 9:57:30?p.?m."
"3656","svchost","38,99","27,14","2101505,82","53,609375","412","System.Diagnostics.ProcessThreadCollection","10/09/2026 9:57:20?p.?m."
"9864","brave","38,9","19,03","2253608,26","39,140625","402","System.Diagnostics.ProcessThreadCollection","10/09/2026 10:06:19?p.?m."
"5624","taskhostw","36,26","8,56","2101434,81","0,578125","505","System.Diagnostics.ProcessThreadCollection","10/09/2026 9:58:31?p.?m."
