"Class","FriendlyName","InstanceId","Status","DriverVersion"
"Firmware","Firmware de dispositivo","UEFI\RES_{3B8A509D-EF4A-4E0A-BE64-6A45F903C38C}\0","OK","10.0.26100.4768"
"System","Recursos de la placa base","ACPI\PNP0C02\1","OK","10.0.26100.1150"
"System","Recursos de la placa base","ACPI\PNP0C02\2","OK","10.0.26100.1150"
"System","Recursos de la placa base","ACPI\PNP0C02\5","OK","10.0.26100.1150"
"Volume","Volumen","STORAGE\VOLUME\{9875C86C-ACF0-11F1-9051-806E6F6E6963}#0000000000100000","OK","10.0.26100.5074"
"MEDIA","Proxy de servicio de streaming de Microsoft","SW\{96E080C7-143C-11D1-B40F-00A0C9223196}\{3C0D501A-140B-11D1-B40F-00A0C9223196}","OK","10.0.26100.1"
"System","Intel(R) Innovation Platform Framework Extensible Framework","SWD\DRIVERENUM\IPFEFEXTCOMPONENT&4&1952BF94&0","OK","2.2.10000.20"
"System","Intel(R) Innovation Platform Framework Generic Participant","ACPI\INTC1046\SSDS","OK","2.2.10000.20"
"System","Controladora integrada compatible con Microsoft ACPI","ACPI\PNP0C09\1","OK","10.0.26100.1150"
"HIDClass","Panel t?ctil compatible con HID","HID\ELAN06FA&COL03\5&2AD98461&0&0002","OK","10.0.26100.9444"
"System","Lenovo Fn and function keys","ACPI\LHK2019\0","OK","2.1.2602.8"
"Camera","Integrated Camera","USB\VID_5986&PID_215F&MI_00\6&164A69C3&0&0000","OK","5.0.18.284"
"System"," LPC/eSPI - 5481","PCI\VEN_8086&DEV_5481&SUBSYS_380117AA&REV_00\3&11583659&0&F8","OK","10.1.50.7"
"Battery","Bater?a con m?todo de control compatible con ACPI de Microsoft","ACPI\PNP0C0A\1","OK","10.0.26100.9278"
"System","Ventilador ACPI","ACPI\PNP0C0B\0","OK","10.0.26100.1150"
"System","Ventilador ACPI","ACPI\PNP0C0B\1","OK","10.0.26100.1150"
"System","Ventilador ACPI","ACPI\PNP0C0B\2","OK","10.0.26100.1150"
"System","Ventilador ACPI","ACPI\PNP0C0B\3","OK","10.0.26100.1150"
"System","Ventilador ACPI","ACPI\PNP0C0B\4","OK","10.0.26100.1150"
"System","Agregador de procesador ACPI","ACPI\ACPI000C\2&DABA3FF&0","OK","10.0.26100.1150"
